# t,x,ts
5.203925999999999767e+05,8.750787963867187500e+02,7.966436157226562500e+02
5.228706599999999744e+05,8.743890991210937500e+02,8.508182373046875000e+02
5.253487199999999721e+05,8.726851196289062500e+02,8.671421508789062500e+02
5.278267800000000279e+05,8.721978759765625000e+02,8.740109252929687500e+02
5.303048399999999674e+05,8.713144531250000000e+02,8.747604370117187500e+02
5.327829000000000233e+05,8.715177001953125000e+02,8.764703369140625000e+02
5.352609599999999627e+05,8.711123046875000000e+02,8.758155517578125000e+02
5.377390200000000186e+05,8.719168090820312500e+02,8.768546142578125000e+02
5.402170799999999581e+05,8.720773925781250000e+02,8.765183715820312500e+02
5.426951400000000140e+05,8.727888183593750000e+02,8.773402099609375000e+02
5.451731999999999534e+05,8.722359619140625000e+02,8.768188476562500000e+02
5.476512600000000093e+05,8.720738525390625000e+02,8.767145385742187500e+02
5.501293199999999488e+05,8.713402709960937500e+02,8.765932006835937500e+02
5.526073800000000047e+05,8.710177612304687500e+02,8.764297485351562500e+02
5.550854399999999441e+05,8.705374755859375000e+02,8.767044677734375000e+02
5.575635000000000000e+05,8.702858276367187500e+02,8.763734130859375000e+02
5.600415599999999395e+05,8.703619995117187500e+02,8.769022827148437500e+02
5.625196199999999953e+05,8.703302612304687500e+02,8.763916625976562500e+02
5.649976799999999348e+05,8.697472534179687500e+02,8.764627075195312500e+02
5.674757399999999907e+05,8.657026977539062500e+02,8.732750854492187500e+02
5.699537999999999302e+05,8.576994018554687500e+02,8.679526367187500000e+02
5.724318599999999860e+05,8.436369018554687500e+02,8.568969116210937500e+02
5.749099199999999255e+05,8.247454223632812500e+02,8.420427856445312500e+02
5.773879799999999814e+05,8.005040283203125000e+02,8.210449218750000000e+02
5.798660399999999208e+05,7.732686157226562500e+02,7.964679565429687500e+02
5.823440999999999767e+05,7.441160278320312500e+02,7.682479858398437500e+02
5.848221600000000326e+05,7.293767700195312500e+02,7.435617065429687500e+02
5.873002199999999721e+05,7.367290649414062500e+02,7.408662109375000000e+02
5.897782800000000279e+05,7.374224853515625000e+02,7.399074707031250000e+02
5.922563399999999674e+05,7.373768310546875000e+02,7.397984619140625000e+02
5.947344000000000233e+05,7.372830810546875000e+02,7.383437500000000000e+02
5.972124599999999627e+05,7.373666381835937500e+02,7.385057983398437500e+02
5.996905200000000186e+05,7.376087036132812500e+02,7.367726440429687500e+02
6.021685799999999581e+05,7.379979858398437500e+02,7.375035400390625000e+02
